fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,color,index,taste
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,1,1412,1
6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,0,5802,1
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,1,977,0
7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,1,1581,1
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,0,3693,0
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,0,1807,0
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,0,4896,0
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,1,803,1
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,0,2870,1
5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,0,6250,0
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,1,625,0
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,0,5464,1
7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,0,3392,1
5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,0,3022,0
6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,0,3662,0
6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,0,5420,0
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,1,264,0
6.9,0.28,0.28,12.2,0.042,52,139,0.99522,3.03,0.56,10.4,0,5421,1
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,0,5932,1
7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,0,1765,0
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,1,15,0
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,1,1331,1
7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,1,709,1
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,0,4151,1
6,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,0,5468,1
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,0,5647,1
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,1,831,0
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,0,5368,1
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,0,1635,0
5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,0,6375,1
5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,0,4767,1
7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,1,1473,1
